d,k,r,p,sl,bs,ed,hd,lr,dr,seg_algo,dataset,type,recall,precision,f-score
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be,pku,test,0.826,0.777,0.801
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_rank,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_rank,pku,test,0.811,0.789,0.800
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_strict,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_strict,pku,test,0.850,0.769,0.808
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_strict_rank,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_strict_rank,pku,test,0.853,0.778,0.814
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be,pku,test,0.826,0.777,0.801
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_rank,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_rank,pku,test,0.811,0.789,0.800
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_strict,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_strict,pku,test,0.850,0.769,0.808
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_strict_rank,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_strict_rank,pku,test,0.853,0.778,0.814
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be,pku,test,0.826,0.777,0.801
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_rank,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_rank,pku,test,0.811,0.789,0.800
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_strict,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_strict,pku,test,0.850,0.769,0.808
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_strict_rank,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_strict_rank,pku,test,0.853,0.778,0.814
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be,pku,test,0.826,0.777,0.801
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_rank,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_rank,pku,test,0.811,0.789,0.800
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_strict,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_strict,pku,test,0.850,0.769,0.808
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_strict_rank,pku,train,0,0,0
300,1500,,16,3,4096,256,256,0.0002,0.2,r_p_naive_threshold-rnn_be_strict_rank,pku,test,0.853,0.778,0.814
