d,k,dataset,type,recall,precision,f-score
300,5000,as,train,0,0,0
300,5000,as,test,0.728,0.699,0.713
300,5000,cityu,train,0,0,0
300,5000,cityu,test,0.730,0.677,0.702
300,5000,msr,train,0,0,0
300,5000,msr,test,0.786,0.716,0.749
300,5000,pku,train,0,0,0
300,5000,pku,test,0.770,0.726,0.747
300,2000,as,train,0,0,0
300,2000,as,test,0.722,0.693,0.707
300,2000,cityu,train,0,0,0
300,2000,cityu,test,0.728,0.678,0.702
300,2000,msr,train,0,0,0
300,2000,msr,test,0.784,0.715,0.748
300,2000,pku,train,0,0,0
300,2000,pku,test,0.768,0.724,0.745
300,1500,as,train,0,0,0
300,1500,as,test,0.717,0.688,0.702
300,1500,cityu,train,0,0,0
300,1500,cityu,test,0.728,0.678,0.702
300,1500,msr,train,0,0,0
300,1500,msr,test,0.781,0.712,0.745
300,1500,pku,train,0,0,0
300,1500,pku,test,0.765,0.722,0.743
300,1000,as,train,0,0,0
300,1000,as,test,0.702,0.669,0.685
300,1000,cityu,train,0,0,0
300,1000,cityu,test,0.717,0.666,0.691
300,1000,msr,train,0,0,0
300,1000,msr,test,0.773,0.703,0.736
300,1000,pku,train,0,0,0
300,1000,pku,test,0.755,0.712,0.733
300,500,as,train,0,0,0
300,500,as,test,0.642,0.595,0.617
300,500,cityu,train,0,0,0
300,500,cityu,test,0.677,0.620,0.647
300,500,msr,train,0,0,0
300,500,msr,test,0.727,0.649,0.686
300,500,pku,train,0,0,0
300,500,pku,test,0.724,0.673,0.697
300,100,as,train,0,0,0
300,100,as,test,0.488,0.407,0.444
300,100,cityu,train,0,0,0
300,100,cityu,test,0.573,0.481,0.523
300,100,msr,train,0,0,0
300,100,msr,test,0.512,0.402,0.451
300,100,pku,train,0,0,0
300,100,pku,test,0.589,0.506,0.544
300,50,as,train,0,0,0
300,50,as,test,0.483,0.392,0.433
300,50,cityu,train,0,0,0
300,50,cityu,test,0.510,0.409,0.454
300,50,msr,train,0,0,0
300,50,msr,test,0.481,0.362,0.413
300,50,pku,train,0,0,0
300,50,pku,test,0.488,0.393,0.435
300,10,as,train,0,0,0
300,10,as,test,0.500,0.378,0.431
300,10,cityu,train,0,0,0
300,10,cityu,test,0.501,0.376,0.430
300,10,msr,train,0,0,0
300,10,msr,test,0.492,0.351,0.410
300,10,pku,train,0,0,0
300,10,pku,test,0.481,0.357,0.410
